URL,no of '.',special char,url length,susp_words,same_tld,htp_count,brand_name_location,data:uri,phpOrEmpty,#hyperlinks,empty_link,fake links,empty_links_ratio,errorLinks,redirect_links,class
"https://highuptours.xyz/cgi--bin/office
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"https://newsweekpakistan.ru/wsxc/osjduc3idv39.32.60.2349e4d8d790f4cba7e90c961d34830a7f649121934bf5a3300324fdb0fc3ce97cepakistanasiapkas12-03-202001-26-07pm/login.php
com/",1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
https://cbsnbase.com/,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
http://yetofarighaismjh.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
https://www.toquedsol.com/,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
http://www.malargent.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://www.malargent.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://revolutionpropertiesllc.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://revolutionpropertiesllc.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://mail.paypal-restoreaccountaccess.com/,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1
"http://190.210.97.33/crm-application/mdghost/filemanager-master/.../42fe880812925e520249e808937738d2
com/",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://190.210.97.33/crm-application/mdghost/filemanager-master/.../42fe880812925e520249e808937738d2/
com/",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
http://astroamericanchenical.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://astroamericanchenical.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://copterjet.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"http://www.livingwagenyc.org/files/poster/scan/pdfonline
com/",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"http://www.livingwagenyc.org/files/poster/scan/pdfonline/
com/",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
https://testing.efacturacadena.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://www.miditech.sk/modules/oct8ne/mee/
com/",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"http://www.miditech.sk/modules/oct8ne/mee/index1.php?l=_jehfuq_vjoxk0qwhtogydw1774256418&fid.13inboxlight.aspxn.1774256418&fid.125289964252813inboxlight99642_product-userid&userid=
com/",1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1
https://login-attverification-linkcpnel-domain.weebly.com/,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1
http://sacitacard.000webhostapp.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://tismoe.gq/surecc/nsw/data/
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"https://onesharehttps.freeddns.org/docfiles/o1/main.html
com/",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
http://gfnewagh.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://www.attorneysecfirm.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://u642573atu.ha004.t.justns.ru/rts/p/95c683b387fb9772834722a3aacf7237/
com/",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
https://radhakrishnaassociates.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://www.sign-retailers.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
http://142-4-15-197.unifiedlayer.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://142-4-15-197.unifiedlayer.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://webcindario0.dyndns.biz/css/amazon/
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://hunter-ish.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://eliasjohansson.se/docb/box.doc/
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
https://handymanpomona.com/,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"https://shrtco.de/wzq3g
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
https://mitad.fcjurado.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"https://www.accounts-login-idm-telekomde.eu/meinkonto.telekom-dienste.de/oauth2/telekom-login.htm?cmd=_login-run&amp;dispatch=21fe5b8ba755eeaece7a45084987622830a0b73609456022ae729282fd9753d4d7657583058394c828ee150fada65345&amp;session=yxagfigheg0zwaciyg963bxgmnia74bdh0cqhahac1ydyzidvn8f7ofdjkw
com/",1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"http://www.accounts-login-idm-telekomde.eu/meinkonto.telekom-dienste.de/oauth2/telekom-login.htm?cmd=_login-run&amp;dispatch=21fe5b8ba755eeaece7a45084987622830a0b73609456022ae729282fd9753d4d7657583058394c828ee150fada65345&amp;session=yxagfigheg0zwaciyg963bxgmnia74bdh0cqhahac1ydyzidvn8f7ofdjkw
com/",1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"https://rhemaprisional.rio.br/.well-known/acme-challenge/update/chaseonline/update.profile.php
com/",1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
http://sign-retailers.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
"http://amazinggoodies.ca/win/dr/
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://amazoea.cf/contents/enter_password.php
com/",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"http://amazoea.cf/contents/
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://amazoze.tk/adv/
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://cpanlm.tk/onedrive/login.php
com/",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"http://amazinggoodies.ca/win/dr/ggn.html
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://transporte24-7.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://transporte24-7.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://oprmatrix.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"https://docerom.ro/chase-login/home/
com/",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
http://fastfoodmenuprice.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://webcindario0.dvrdns.org/source/latest/gs_gen/gs53b006b9112bbf78d063a0fef3ffda08/?dispatch=shustagxlwvdi0qzjojnbiebyyqzxh1qywtswzprvk5elvdfjw
com/",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
